latitud;longitud;direccion;B93;B95;B97;DIESEL;keresone;marca;
-35.4404724;-71.64729979999998;UNO NORTE 2315, Talca;766.0;798.0;836.0;573.0;657.0;ABASTIBLE;
-34.99255503938055;-71.24718624243314;Av. 2 Sur esq. 7 Oriente 1410, Talca;766.0;798.0;832.0;573.0;656.0;ABASTIBLE;
-34.96501090000002;-71.24928608413086;Avenida Balmaceda 1900, Curicó;825.0;855.0;885.0;607.0;695.0;AUTOGASCO;
-35.52727341151067;-71.5038138628006;Ignacio Carrera Pinto 818, Parral;714.0;768.0;814.0;562.0;641.0;COPEC;
-35.53680114456449;-71.49030089378357;HUAMACHUCO 1261, San Clemente;769.0;808.0;871.0;565.0;673.0;HN;
-35.84552898797174;-72.63317531459961;AVENIDA HUAMACHUCO 210, San Clemente;770.0;808.0;871.0;565.0;674.0;Sin Bandera;
-35.42829497467605;-71.64147019386291;Av. Carlos Schorr 355, Talca;784.0;813.0;829.0;570.0;637.0;HN;
-35.96598905872831;-72.32506334781647;MAIPU, SAN MARTÍN 0, Cauquenes;765.0;796.0;861.0;571.0;667.0;COPEC;
-35.962159519179004;-72.33106076717377;Maipú 546, Cauquenes;773.0;805.0;861.0;571.0;667.0;SHELL;
-35.73426839662613;-72.53310084342957;Avenida Dr. Meza 1520, Cauquenes;773.0;805.0;861.0;571.0;673.0;Sin Bandera;
-35.42816384003634;-71.66521847248077;CAMINO LONGITUDINAL SUR KM 255 0, Talca;786.0;818.0;836.0;573.0;675.0;COPEC;
-35.42530068051496;-71.658775806427;2 SUR, ESQ. 1 ORIENTE 841, Talca;769.0;800.0;837.0;573.0;649.0;COPEC;
-35.43216772143182;-71.64806842803955;6 ORIENTE 1274, Talca;766.0;798.0;836.0;573.0;655.0;COPEC;
-35.42904243804531;-71.67238533496857;12 ORIENTE 836, Talca;766.0;798.0;836.0;573.0;653.0;COPEC;
-35.4480342;-71.68989019999998;AV. CARLOS SCHORR 83, Talca;766.0;798.0;836.0;573.0;653.0;COPEC;
-35.426872021772866;-71.6429272462799;Avenida Colín 0996, Talca;766.0;798.0;836.0;573.0;655.0;COPEC;
-35.42999533450357;-71.63334310054779;2 Norte 2310, Talca;766.0;798.0;836.0;573.0;656.0;Punto Sur;
-35.43509619858289;-71.6513729095459;1 norte esq. 18 oriente 2255, Talca;766.0;798.0;836.0;573.0;657.0;PETROBRAS;
-35.4346545487818;-71.62941255026243;11 Oriente  7 sur  501, Talca;766.0;798.0;832.0;573.0;656.0;PETROBRAS;
-35.441444;-71.6765075;Avda. San Miguel 3210, Talca;766.0;798.0;836.0;573.0;653.0;SHELL;
-35.422253817308906;-71.65051460266113;Avda. Ignacio Carrera Pinto 482, Talca;766.0;798.0;836.0;573.0;653.0;SHELL;
-35.43797212173567;-71.68229341506958;Dieciocho Oriente 400, Talca;766.0;798.0;836.0;573.0;673.0;Sin Bandera;
-35.427044815759324;-71.6516786813736;Villa Los Tilos, Sitios 14-15- 16, Talca;766.0;798.0;836.0;573.0;655.0;SOCORRO;
-35.379345074697625;-71.60164475440979;Antonio Varas 1090, Cauquenes;771.0;799.0;839.0;573.0;670.0;COPEC;
-36.14402201867033;-71.83449804782867;AVENIDA LIRCAY 2820, Talca;775.0;815.0;865.0;575.0;669.0;Sin Bandera;
-35.42415975958403;-71.65946245193481;7 Oriente esq. 9 Norte  0, Talca;775.0;804.0;864.0;576.0;681.0;SHELL;
-35.43423514993709;-71.630859375;Cinco Oriente 1360, Talca;774.0;806.0;843.0;576.0;658.0;SHELL;
-35.39336190577475;-71.80319666862488;Avenida San Miguel 3040, Talca;774.0;806.0;843.0;576.0;658.0;Sin Bandera;
-35.59581815942163;-71.7060662479492;BUIN, ESQ. DIECIOCHO    395, Parral;773.0;805.0;868.0;576.0;641.0;Mimbral;
