latitud;longitud;direccion;B93;B95;B97;DIESEL;keresone;marca;
-33.5239967;-70.7572606;Alberto Llona 640, Maipú;803.0;814.0;786.0;565.0;670.0;JVL COMBUSTIBLES;
-33.50200361659041;-70.7570332288742;PAJARITOS ESQUINA NUEVA O\' HIGGINS 400, Maipú;765.0;778.0;785.0;559.0;616.0;SHELL;
-33.4906068;-70.6060392;Ramon Freire 2753, Maipú;792.0;816.0;841.0;601.0;665.0;COPEC;
-33.47731245812742;-70.67188918590546;Escuela Agrícola 2589, Macul;771.0;798.0;863.0;592.0;650.0;COPEC;
-33.18438076918141;-70.65279185771942;Bascuñán Guerrero 2445, Santiago;801.0;838.0;868.0;592.0;643.0;GYT COMBUSTIBLES;
-33.5240758;-70.6228357;AV 5 DE ABRIL 655, Maipú;790.0;820.0;798.0;577.0;616.0;ABASTIBLE;
-33.51654032357591;-70.58322608470917;Avenida La Florida 7165, La Florida;788.0;831.0;878.0;591.0;658.0;ECOGREEN LTDA.;
-33.413138036081115;-70.65813481807709;Exposición 1219, Estación Central;788.0;825.0;862.0;570.0;670.0;COPEC;
-33.42726433235872;-70.64019218087196;Independencia 1517, Independencia;765.0;793.0;851.0;571.0;639.0;TERPEL;
-33.54037076456246;-70.66279649734497;Domínica 217, Recoleta;774.0;796.0;818.0;583.0;663.0;Petroval;
-33.43254711092002;-70.6729406118393;San José 10, San Bernardo;782.0;812.0;801.0;600.0;656.0;AUTOGASCO;
-33.54518390406246;-70.58816939592361;Vivaceta 884, Independencia;769.0;804.0;847.0;589.0;610.0;SHELL;
-33.44486189934619;-70.74796199798584;Av. Vicuña Mackenna 9840, La Florida;789.0;827.0;852.0;596.0;640.0;COPEC;
-33.424521306283545;-70.68737147909849;San Pablo 8529, Pudahuel;775.0;790.0;803.0;577.0;662.0;PETROBRAS;
-33.58274981469579;-70.69731920957565;Avenida Concha y Toro 3919, Puente Alto;777.0;801.0;825.0;596.0;669.0;SHELL;
-33.6162575;-70.6080099;Avenidada Gran Avenida  14151, San Bernardo;769.0;782.0;801.0;585.0;677.0;ABASTIBLE;
-33.478216299219376;-70.55800259113312;EYZAGUIRRE 2436, Puente Alto;808.0;848.0;883.0;596.0;655.0;COPEC;
-33.3668394;-70.68913459999999;Tobalaba  11567, Peñalolén;778.0;812.0;873.0;593.0;669.0;HOLA!;
-33.45288280609424;-70.69831430912018;Avenida Padre Hurtado 15771, San Bernardo;780.0;805.0;799.0;583.0;654.0;COPEC;
-33.41766944708862;-70.55214464664459;Ecuador 4603, Estación Central;762.0;776.0;790.0;599.0;650.0;PETROBRAS;
-33.37593302328304;-70.75037598609924;Cristobal Colon 7550, Las Condes;817.0;856.0;900.0;618.0;687.0;Combustibles Endless.com;
-33.653056074990346;-70.92729929140165;BARROS LUCO 3153, Lampa ;792.0;824.0;861.0;602.0;638.0;ABASTIBLE;
